income,pell0,pell1,pell2,public0,public1,public2,private0,private1,private2
140000,private2,-16440,,,,,,,
150000,pell0,0,,,,,,,
150000,pell1,0,,,,,,,
150000,pell2,0,,,,,,,
150000,public0,0,,,,,,,
150000,public1,-5025,,,,,,,
150000,public2,-10683,,,,,,,
150000,private0,4360,,,,,,,
150000,private1,-12615,,,,,,,
150000,private2,-18273,,,,,,,
160000,pell0,0,,,,,,,
160000,pell1,0,,,,,,,
160000,pell2,0,,,,,,,
160000,public0,0,,,,,,,
160000,public1,-3505,,,,,,,
160000,public2,-9670,,,,,,,
160000,private0,4550,,,,,,,
160000,private1,-13945,,,,,,,
160000,private2,-20110,,,,,,,
170000,pell0,0,,,,,,,
170000,pell1,0,,,,,,,
170000,pell2,0,,,,,,,
170000,public0,0,,,,,,,
170000,public1,-1980,,,,,,,
170000,public2,-8653,,,,,,,
170000,private0,4750,,,,,,,
170000,private1,-15270,,,,,,,
170000,private2,-21943,,,,,,,
180000,pell0,0,,,,,,,
180000,pell1,0,,,,,,,
180000,pell2,0,,,,,,,
180000,public0,0,,,,,,,
180000,public1,-460,,,,,,,
180000,public2,-7640,,,,,,,
180000,private0,4950,,,,,,,
180000,private1,-16590,,,,,,,
180000,private2,-23770,,,,,,,
190000,pell0,0,,,,,,,
190000,pell1,0,,,,,,,
190000,pell2,0,,,,,,,
190000,public0,0,,,,,,,
190000,public1,0,,,,,,,
190000,public2,-6623,,,,,,,
190000,private0,5150,,,,,,,
190000,private1,-17915,,,,,,,
190000,private2,-25603,,,,,,,
200000,pell0,0,,,,,,,
200000,pell1,0,,,,,,,
200000,pell2,0,,,,,,,
200000,public0,0,,,,,,,
200000,public1,0,,,,,,,
200000,public2,-5610,,,,,,,
200000,private0,5350,,,,,,,
200000,private1,-19235,,,,,,,
200000,private2,-27430,,,,,,,
210000,pell0,0,,,,,,,
210000,pell1,0,,,,,,,
210000,pell2,0,,,,,,,
210000,public0,0,,,,,,,
210000,public1,0,,,,,,,
210000,public2,-4593,,,,,,,
210000,private0,5320,,,,,,,
210000,private1,-20570,,,,,,,
210000,private2,-29273,,,,,,,
220000,pell0,0,,,,,,,
220000,pell1,0,,,,,,,
220000,pell2,0,,,,,,,
220000,public0,0,,,,,,,
220000,public1,0,,,,,,,
220000,public2,-3580,,,,,,,
220000,private0,2480,,,,,,,
220000,private1,-21890,,,,,,,
220000,private2,-31100,,,,,,,
230000,pell0,0,,,,,,,
230000,pell1,0,,,,,,,
230000,pell2,0,,,,,,,
230000,public0,0,,,,,,,
230000,public1,0,,,,,,,
230000,public2,-2563,,,,,,,
230000,private0,0,,,,,,,
230000,private1,-22845,,,,,,,
230000,private2,-32563,,,,,,,
240000,pell0,0,,,,,,,
240000,pell1,0,,,,,,,
240000,pell2,0,,,,,,,
240000,public0,0,,,,,,,
240000,public1,0,,,,,,,
240000,public2,-1550,,,,,,,
240000,private0,0,,,,,,,
240000,private1,-21325,,,,,,,
240000,private2,-31550,,,,,,,
250000,pell0,0,,,,,,,
250000,pell1,0,,,,,,,
250000,pell2,0,,,,,,,
250000,public0,0,,,,,,,
250000,public1,0,,,,,,,
250000,public2,-533,,,,,,,
250000,private0,0,,,,,,,
250000,private1,-19800,,,,,,,
250000,private2,-30533,,,,,,,
260000,pell0,0,,,,,,,
260000,pell1,0,,,,,,,
260000,pell2,0,,,,,,,
260000,public0,0,,,,,,,
260000,public1,0,,,,,,,
260000,public2,0,,,,,,,
260000,private0,0,,,,,,,
260000,private1,-18280,,,,,,,
260000,private2,-29520,,,,,,,
270000,pell0,0,,,,,,,
270000,pell1,0,,,,,,,
270000,pell2,0,,,,,,,
270000,public0,0,,,,,,,
270000,public1,0,,,,,,,
270000,public2,0,,,,,,,
270000,private0,0,,,,,,,
270000,private1,-16755,,,,,,,
270000,private2,-28503,,,,,,,
280000,pell0,0,,,,,,,
280000,pell1,0,,,,,,,
280000,pell2,0,,,,,,,
280000,public0,0,,,,,,,
280000,public1,0,,,,,,,
280000,public2,0,,,,,,,
280000,private0,0,,,,,,,
280000,private1,-15235,,,,,,,
280000,private2,-27490,,,,,,,
290000,pell0,0,,,,,,,
290000,pell1,0,,,,,,,
290000,pell2,0,,,,,,,
290000,public0,0,,,,,,,
290000,public1,0,,,,,,,
290000,public2,0,,,,,,,
290000,private0,0,,,,,,,
290000,private1,-13710,,,,,,,
290000,private2,-26473,,,,,,,
300000,pell0,0,,,,,,,
300000,pell1,0,,,,,,,
300000,pell2,0,,,,,,,
300000,public0,0,,,,,,,
300000,public1,0,,,,,,,
300000,public2,0,,,,,,,
300000,private0,0,,,,,,,
300000,private1,-12190,,,,,,,
300000,private2,-25460,,,,,,,
